Full name (Model),Location,Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/INFOBLOX 550-A/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065458,1116201002000033,1,6065458,Physical inventory
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS 7604 ROUTER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065459,FOX1234H8Z8,1,SFR-NP-7604-2,Clarity
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065460,6065460,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/KVM SWITCHES/AVOCENT ALTERPATH ACS48 CONSOLE SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC03/,6008824,6008824,1,TERMINATOR-2,Physical inventory
/HARDWARE NETWORK EQUIPMENT/ROUTERS/CISCO SYSTEMS 7604 ROUTER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC03/,6065453,FOX1234H8Z5,1,SFR-NP-7604-1,Physical inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC03/,6065454,6065454,1,,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT DL585 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008752,USE336DK5S,1,3406926,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G8 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6008862,2M41336B2E,1,HP-380-VMSERVER-3.ENG.QPASS.NET,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G8 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6065449,3UI1349FYN,1,HP-380-VMSERVER-1.ENG.QPASS.NET,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT DL380 G8 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC04/,6065450,2M41343BVX,1,HP-380-VMSERVER-2.ENG.QPASS.NET,Physical Inventory
